1400000US21015070101|41923|8083
1400000US21015070102|64803|16406
1400000US21015070201|66045|12822
1400000US21015070202|46963|29002
1400000US21015070301|50264|15260
1400000US21015070305|91591|12257
1400000US21015070309|127300|18970
1400000US21015070311|54125|18827
1400000US21015070312|67987|9462
1400000US21015070313|90804|20862
1400000US21015070314|106921|14843
1400000US21015070315|70380|7888
1400000US21015070316|109291|10989
1400000US21015070317|116118|15295
1400000US21015070318|108800|11773
1400000US21015070403|171619|42295
1400000US21015070404|123651|8168
1400000US21015070405|110930|14090
1400000US21015070406|99125|9641
1400000US21015070407|100365|19645
1400000US21015070502|96250|17678
1400000US21015070503|76439|17830
1400000US21015070505|116512|14316
1400000US21015070506|114043|5645
1400000US21015070601|107083|32203
1400000US21015070604|103991|10132
1400000US21015070605|153594|16072
1400000US21015070606|78774|11375
1400000US21015070607|101758|19992
1400000US21015980100|-666666666|-222222222
1400000US21037050100|29005|4270
1400000US21037050400|93068|13975
1400000US21037050500|27257|7921
1400000US21037050600|14917|14666
1400000US21037051101|62885|24228
1400000US21037051102|96618|16682
1400000US21037051200|-666666666|-222222222
1400000US21037051300|100469|19930
1400000US21037051901|93934|10206
1400000US21037051903|81887|19076
1400000US21037051904|105889|11656
1400000US21037052001|107656|22740
1400000US21037052002|94333|8096
1400000US21037052100|66142|10566
1400000US21037052200|67520|8123
1400000US21037052301|65833|27923
1400000US21037052302|93947|18746
1400000US21037052400|57361|34103
1400000US21037052500|65179|14873
1400000US21037052800|76220|13715
1400000US21037052900|69310|4555
1400000US21037053100|67402|7797
1400000US21037053200|77917|45697
1400000US21037053301|49005|9324
1400000US21037053302|63641|14308
1400000US21117060300|59792|9324
1400000US21117060700|82859|19296
1400000US21117060900|42169|18959
1400000US21117061000|54861|12772
1400000US21117061100|75731|11953
1400000US21117061200|48922|10482
1400000US21117061300|52500|12143
1400000US21117061400|43264|5816
1400000US21117061600|49797|4978
1400000US21117063604|68898|3747
1400000US21117063606|113594|21014
1400000US21117063607|59594|4231
1400000US21117063608|96923|15944
1400000US21117063609|99346|5011
1400000US21117063610|89750|13170
1400000US21117063701|97844|11960
1400000US21117063702|74528|9636
1400000US21117063800|80253|20555
1400000US21117064001|115000|40351
1400000US21117064002|77589|19369
1400000US21117064300|59028|8605
1400000US21117064400|50806|11077
1400000US21117064500|94219|10817
1400000US21117064600|70318|16212
1400000US21117064700|118814|30071
1400000US21117064800|85625|31561
1400000US21117064900|87500|25291
1400000US21117065000|43125|17391
1400000US21117065100|26962|5704
1400000US21117065200|91397|15743
1400000US21117065300|82616|9363
1400000US21117065400|92885|19418
1400000US21117065501|105966|10860
1400000US21117065502|132604|25421
1400000US21117065600|65000|17000
1400000US21117065700|83269|24970
1400000US21117065800|107917|16573
1400000US21117065900|77902|9343
1400000US21117066801|107313|14307
1400000US21117066802|116196|15647
1400000US21117066900|47061|10118
1400000US21117067000|52607|16159
1400000US21117067100|26016|3196
1400000US21117067200|83195|6984
1400000US39061000200|18327|2737
1400000US39061000700|102474|17592
1400000US39061000900|89044|18488
1400000US39061001000|89400|14626
1400000US39061001100|76196|11706
1400000US39061001600|32769|15145
1400000US39061001700|73750|68463
1400000US39061001800|67700|14588
1400000US39061001900|59441|5184
1400000US39061002000|85962|17991
1400000US39061002200|29589|9778
1400000US39061002300|42154|36637
1400000US39061002500|37766|9943
1400000US39061002600|40510|10527
1400000US39061002700|77714|3456
1400000US39061002800|54375|33867
1400000US39061002901|-666666666|-222222222
1400000US39061002902|33202|6916
1400000US39061003000|29650|19376
1400000US39061003200|32933|15612
1400000US39061003300|25822|5444
1400000US39061003600|32946|32593
1400000US39061003700|19221|3416
1400000US39061003800|37042|4757
1400000US39061003900|46969|5565
1400000US39061004000|79306|18818
1400000US39061004100|75938|19717
1400000US39061004200|62955|20617
1400000US39061004602|72825|15708
1400000US39061004603|81476|9396
1400000US39061004604|55729|10603
1400000US39061004605|78452|13272
1400000US39061004703|103830|4151
1400000US39061004800|172378|61112
1400000US39061004900|117083|23619
1400000US39061005000|106635|31253
1400000US39061005100|143083|28296
1400000US39061005200|86464|17396
1400000US39061005301|89922|34998
1400000US39061005302|94859|21656
1400000US39061005500|47297|9510
1400000US39061005600|55339|10512
1400000US39061005701|66815|26040
1400000US39061005702|70000|21414
1400000US39061005800|57813|19775
1400000US39061005900|82386|19431
1400000US39061006000|60529|15899
1400000US39061006100|32599|4204
1400000US39061006300|59964|7482
1400000US39061006400|38893|3944
1400000US39061006501|-666666666|-222222222
1400000US39061006502|63750|18755
1400000US39061006600|16150|4180
1400000US39061006800|21150|8273
1400000US39061006900|36929|11242
1400000US39061007000|63977|17174
1400000US39061007100|74337|11223
1400000US39061007200|37566|7046
1400000US39061007300|45445|5941
1400000US39061007400|81875|25532
1400000US39061007500|74881|11386
1400000US39061007700|12500|8166
1400000US39061008000|19018|3180
1400000US39061008100|42836|6099
1400000US39061008201|51960|8009
1400000US39061008202|46563|14574
1400000US39061008300|31615|9545
1400000US39061008400|41250|12399
1400000US39061008501|-666666666|-222222222
1400000US39061008502|12294|1825
1400000US39061008601|27774|12567
1400000US39061008800|24304|7247
1400000US39061009200|39722|9959
1400000US39061009300|24181|11705
1400000US39061009400|34360|9538
1400000US39061009500|45152|12128
1400000US39061009600|32150|6676
1400000US39061009700|43996|14370
1400000US39061009800|35160|15070
1400000US39061009901|60235|4397
1400000US39061009902|47900|14762
1400000US39061010002|31545|8696
1400000US39061010003|48929|17131
1400000US39061010004|34921|19560
1400000US39061010005|50625|13763
1400000US39061010100|49468|11598
1400000US39061010201|44044|7365
1400000US39061010202|63973|12227
1400000US39061010300|44167|21955
1400000US39061010400|56534|11203
1400000US39061010500|56250|33839
1400000US39061010600|88667|15535
1400000US39061010700|56161|14156
1400000US39061010900|32030|13672
1400000US39061011000|36905|11230
1400000US39061011100|63569|12797
1400000US39061020401|76679|15833
1400000US39061020403|124254|23888
1400000US39061020404|114128|6124
1400000US39061020501|94938|23502
1400000US39061020502|102449|24227
1400000US39061020504|101500|8911
1400000US39061020505|68173|11732
1400000US39061020601|94375|15226
1400000US39061020603|73389|7960
1400000US39061020604|67063|3165
1400000US39061020701|57644|24768
1400000US39061020705|65281|18581
1400000US39061020707|126250|19736
1400000US39061020741|52129|14888
1400000US39061020742|47461|10409
1400000US39061020762|58870|6299
1400000US39061020763|77679|27410
1400000US39061020764|57542|9857
1400000US39061020802|99402|12802
1400000US39061020811|67656|17898
1400000US39061020812|91065|11150
1400000US39061020901|54483|5308
1400000US39061020902|49531|16400
1400000US39061021001|69357|3594
1400000US39061021002|82632|14887
1400000US39061021003|78421|10600
1400000US39061021101|117736|14184
1400000US39061021102|121159|2083
1400000US39061021201|129700|19477
1400000US39061021202|83328|9759
1400000US39061021302|103796|24536
1400000US39061021303|97276|12846
1400000US39061021304|81297|8335
1400000US39061021401|66800|18103
1400000US39061021421|89942|10948
1400000US39061021422|73846|23120
1400000US39061021501|76957|19860
1400000US39061021504|72259|8148
1400000US39061021505|61813|15891
1400000US39061021506|65392|9222
1400000US39061021508|78438|16911
1400000US39061021509|50451|14157
1400000US39061021571|73864|23531
1400000US39061021572|51360|4805
1400000US39061021602|46354|12891
1400000US39061021603|68338|7630
1400000US39061021604|65705|10820
1400000US39061021701|60962|17615
1400000US39061021702|41122|11056
1400000US39061021801|47613|17857
1400000US39061021802|58958|9622
1400000US39061021900|51133|11265
1400000US39061022000|72500|9434
1400000US39061022101|95268|17934
1400000US39061022102|85632|11532
1400000US39061022200|73695|6354
1400000US39061022301|48333|13266
1400000US39061022302|84670|27449
1400000US39061022400|100313|22029
1400000US39061022500|62827|6070
1400000US39061022601|142377|24211
1400000US39061022602|97639|16651
1400000US39061022700|14676|7460
1400000US39061023001|59676|15751
1400000US39061023002|75563|27274
1400000US39061023100|158618|14919
1400000US39061023201|33507|7384
1400000US39061023210|96671|15063
1400000US39061023222|58584|5606
1400000US39061023300|143625|22486
1400000US39061023400|48677|4338
1400000US39061023501|142431|25815
1400000US39061023521|101528|21027
1400000US39061023522|94803|22308
1400000US39061023600|78672|12024
1400000US39061023701|70625|20703
1400000US39061023702|78601|9260
1400000US39061023800|49414|13407
1400000US39061023901|104659|18481
1400000US39061023902|128500|18284
1400000US39061024001|82125|20310
1400000US39061024002|109559|45370
1400000US39061024100|153414|10949
1400000US39061024200|127744|22475
1400000US39061024301|104583|20065
1400000US39061024303|83710|11153
1400000US39061024322|168866|17334
1400000US39061024323|162031|42766
1400000US39061024324|96692|5332
1400000US39061024401|163026|28552
1400000US39061024402|250001|-333333333
1400000US39061024700|70750|9044
1400000US39061024800|136739|18016
1400000US39061024901|53207|11325
1400000US39061024903|169972|26600
1400000US39061024904|120517|13044
1400000US39061025001|106691|31885
1400000US39061025002|112853|16161
1400000US39061025101|143603|21358
1400000US39061025102|94297|20343
1400000US39061025103|91488|18860
1400000US39061025200|46130|5871
1400000US39061025300|65429|14156
1400000US39061025401|46552|17567
1400000US39061025402|70675|12437
1400000US39061025500|47593|13129
1400000US39061025600|72538|17434
1400000US39061025700|36773|7375
1400000US39061025800|69840|23016
1400000US39061026001|128648|11044
1400000US39061026002|108060|12260
