1400000US21015980100|15|16|15|16|15|16|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12
1400000US21037050100|523|128|324|124|293|119|31|30|16|20|15|21|0|12|0|12|0|12|42|26|42|26|0|12|0|12|0|12|0|12|0|12|0|12|0|12|96|63|17|16|44|33
1400000US21037050400|1268|195|912|125|816|118|96|54|89|53|7|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|21|31|0|12|335|169
1400000US21037050500|827|233|470|144|434|136|36|41|36|41|0|12|0|12|0|12|0|12|54|49|54|49|0|12|0|12|0|12|0|12|0|12|0|12|2|5|122|135|6|12|173|110
1400000US21037050600|465|170|397|154|248|96|149|87|131|85|12|17|6|9|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|42|67|26|23
1400000US21037051101|1295|246|1036|199|953|179|83|62|41|44|0|12|42|43|0|12|0|12|21|26|21|26|0|12|0|12|0|12|0|12|0|12|0|12|0|12|23|28|32|39|183|159
1400000US21037051102|926|161|813|154|623|143|190|66|135|57|55|54|0|12|0|12|0|12|7|11|7|11|0|12|0|12|0|12|0|12|0|12|0|12|0|12|11|12|0|12|95|44
1400000US21037051200|391|124|344|117|286|107|58|48|58|48|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|30|35|0|12|17|19
1400000US21037051300|2559|306|2256|293|1874|336|382|195|319|165|63|56|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|7|12|11|18|285|115
1400000US21037051901|2474|362|2204|382|2001|395|203|97|163|94|19|21|8|13|13|21|0|17|47|43|47|43|0|17|0|17|0|17|0|17|0|17|0|17|0|17|0|17|26|24|197|71
1400000US21037051903|3575|474|3034|406|2871|413|163|117|112|109|51|49|0|17|0|17|0|17|0|17|0|17|0|17|0|17|0|17|0|17|0|17|0|17|0|17|38|46|0|17|503|239
1400000US21037051904|2344|192|1912|213|1723|208|189|89|182|90|7|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|26|37|0|12|9|15|0|12|397|113
1400000US21037052001|3218|562|2851|572|2614|561|237|125|229|125|8|12|0|17|0|17|0|17|17|27|17|27|0|17|0|17|0|17|0|17|0|17|0|17|0|17|26|40|34|35|290|125
1400000US21037052002|1331|158|1219|157|1076|148|143|66|138|65|5|9|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|10|13|10|13|92|44
1400000US21037052100|1935|233|1572|229|1392|210|180|130|169|130|11|20|0|12|0|12|0|12|76|81|76|81|0|12|0|12|0|12|0|12|0|12|0|12|0|12|46|42|0|12|241|101
1400000US21037052200|1257|208|993|210|901|211|92|58|75|52|0|12|0|12|17|24|0|12|7|12|7|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|80|59|12|19|165|80
1400000US21037052301|2733|461|2344|488|2244|503|100|77|56|41|43|45|0|17|0|17|1|3|56|60|56|60|0|17|0|17|0|17|0|17|0|17|0|17|0|17|43|40|27|31|263|177
1400000US21037052302|2309|284|1844|245|1644|215|200|142|180|133|20|30|0|12|0|12|0|12|26|28|26|28|0|12|0|12|0|12|0|12|0|12|0|12|0|12|31|36|26|26|382|143
1400000US21037052400|1324|214|1189|210|1077|223|112|53|112|53|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|29|27|3|7|103|88
1400000US21037052500|2599|345|2096|338|1924|332|172|97|164|95|0|17|8|14|0|17|0|17|16|26|16|26|0|17|0|17|0|17|0|17|0|17|0|17|0|17|35|57|0|17|452|257
1400000US21037052800|1566|174|1347|210|1260|202|87|69|35|32|9|14|43|63|0|12|0|12|34|41|34|41|0|12|0|12|0|12|0|12|0|12|0|12|23|22|0|12|18|27|144|105
1400000US21037052900|2762|315|2291|299|1951|308|340|241|313|243|25|41|1|2|0|17|1|2|2|3|2|3|0|17|0|17|0|17|0|17|0|17|0|17|0|17|42|47|19|26|408|164
1400000US21037053100|2816|410|2179|400|1918|333|261|177|260|177|1|2|0|17|0|17|0|17|18|27|18|27|0|17|0|17|0|17|0|17|0|17|0|17|0|17|42|40|22|24|555|229
1400000US21037053200|1282|241|885|219|774|213|111|94|111|94|0|12|0|12|0|12|0|12|44|39|44|39|0|12|0|12|0|12|0|12|0|12|0|12|33|41|42|41|0|12|278|135
1400000US21037053301|2839|358|2162|304|2049|317|113|64|54|43|51|46|0|17|8|15|0|17|34|30|34|30|0|17|0|17|0|17|0|17|0|17|0|17|0|17|277|152|37|46|329|168
1400000US21037053302|2428|266|2041|260|1941|251|100|58|90|56|10|17|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|0|12|11|18|9|13|201|104|6|14|160|69
1400000US21117060300|987|167|533|101|487|99|46|33|46|33|0|12|0|12|0|12|0|12|48|25|48|25|0|12|0|12|0|12|0|12|17|15|6|9|5|8|106|57|6|9|266|115
